trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
40,False,"{'a': 0.9607894391523232, 'e': 0.6703200460356393}",30,0,-51.073835936187905,"{0: 21, 1: 3, 2: 6, 3: 0, 4: 0}",0
41,False,"{'a': 0.9598291299477989, 'e': 0.6636502501363194}",20,0,-24.19962497303068,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
42,False,"{'a': 0.9588697805724845, 'e': 0.6570468198150567}",25,0,-46.10974249995489,"{0: 17, 1: 2, 2: 6, 3: 0, 4: 0}",0
43,False,"{'a': 0.9579113900670306, 'e': 0.6505090947233165}",25,0,-111.71792468060231,"{0: 15, 1: 3, 2: 4, 3: 2, 4: 1}",0
44,False,"{'a': 0.9569539574730467, 'e': 0.6440364210831414}",25,12,-88.24505609681388,"{0: 8, 1: 2, 2: 1, 3: 0, 4: 2}",1
45,False,"{'a': 0.9559974818331, 'e': 0.6376281516217733}",30,0,-142.43185818128072,"{0: 18, 1: 3, 2: 5, 3: 3, 4: 1}",0
46,False,"{'a': 0.9550419621907147, 'e': 0.631283645506926}",20,9,-17.469545456340636,"{0: 8, 1: 0, 2: 3, 3: 0, 4: 0}",1
47,False,"{'a': 0.9540873975903711, 'e': 0.6250022682827008}",20,0,-132.48251254806095,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0
48,False,"{'a': 0.9531337870775047, 'e': 0.6187833918061408}",20,3,-82.08561612942188,"{0: 9, 1: 2, 2: 5, 3: 0, 4: 1}",1
49,False,"{'a': 0.9521811296985049, 'e': 0.6126263941844161}",20,1,-39.63001719917374,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 0}",1
50,False,"{'a': 0.951229424500714, 'e': 0.6065306597126334}",20,0,-23.79019090500132,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
51,False,"{'a': 0.950278670532427, 'e': 0.6004955788122659}",30,0,-96.28628641163422,"{0: 23, 1: 1, 2: 4, 3: 0, 4: 2}",0
52,False,"{'a': 0.9493288668428895, 'e': 0.5945205479701944}",20,12,5.612219643599066,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
